year,month,date,time,energy
2023,1,4,08:15:00,5015.625
2023,1,4,08:30:00,4734.375
2023,1,4,08:45:00,5335.9375
2023,1,4,09:00:00,6453.125
2023,1,4,09:15:00,6320.3125
2023,1,4,09:30:00,5359.375
2023,1,4,09:45:00,4070.3125
2023,1,4,10:00:00,4367.1875
2023,1,4,10:15:00,2929.6875
2023,1,4,10:30:00,2890.625
2023,1,4,10:45:00,1828.125
2023,1,4,11:00:00,1945.3125
2023,1,4,11:15:00,2163.330078125
2023,1,4,11:30:00,2241.8212890625
2023,1,4,11:45:00,1497.74169921875
2023,1,4,12:00:00,1820.3125
2023,1,4,12:15:00,1766.845703125
2023,1,4,12:30:00,2187.5
2023,1,4,12:45:00,3351.5625
2023,1,4,13:00:00,3187.5
2023,1,4,13:15:00,3593.75
2023,1,4,13:30:00,3296.875
2023,1,4,13:45:00,3750.0
2023,1,4,14:00:00,4976.5625
2023,1,4,14:15:00,3593.75
2023,1,4,14:30:00,4054.6875
2023,1,4,14:45:00,4546.875
2023,1,4,15:00:00,6015.625
2023,1,4,15:15:00,6125.0
2023,1,4,15:30:00,4148.4375
2023,1,4,15:45:00,3968.75
2023,1,4,16:00:00,4023.4375
2023,1,4,16:15:00,4617.1875
2023,1,4,16:30:00,5140.625
2023,1,4,16:45:00,4843.75
2023,1,4,17:00:00,4648.4375
2023,1,4,17:15:00,4312.5
2023,1,4,17:30:00,4148.4375
2023,1,4,17:45:00,2921.875
2023,1,4,18:00:00,2554.6875
2023,1,4,18:15:00,1992.1875
2023,1,4,18:30:00,1960.9375
2023,1,4,18:45:00,1828.125
2023,1,4,19:00:00,2617.1875
2023,1,4,19:15:00,3312.5
2023,1,4,19:30:00,2976.5625
2023,1,4,19:45:00,1625.0
2023,1,4,20:00:00,1695.3125
2023,1,4,20:15:00,1695.3125
2023,1,4,20:30:00,1648.4375
2023,1,4,20:45:00,1656.25
2023,1,4,21:00:00,1585.9375
2023,1,4,21:15:00,1664.0625
2023,1,4,21:30:00,1687.5
2023,1,4,21:45:00,1648.4375
2023,1,4,22:00:00,1703.125
2023,1,4,22:15:00,1648.4375
2023,1,4,22:30:00,1601.5625
2023,1,4,22:45:00,1710.9375
2023,1,4,23:00:00,1585.9375
2023,1,4,23:15:00,1562.5
2023,1,4,23:30:00,1617.1875
2023,1,4,23:45:00,1632.8125
2023,1,5,00:00:00,1617.1875
2023,1,5,00:15:00,1664.0625
2023,1,5,00:30:00,1617.1875
2023,1,5,00:45:00,1625.0
2023,1,5,01:00:00,1617.1875
2023,1,5,01:15:00,2085.9375
2023,1,5,01:30:00,1679.6875
2023,1,5,01:45:00,1578.125
2023,1,5,02:00:00,1562.5
2023,1,5,02:15:00,1625.0
2023,1,5,02:30:00,1593.75
2023,1,5,02:45:00,1632.8125
2023,1,5,03:00:00,1601.5625
2023,1,5,03:15:00,1562.5
2023,1,5,03:30:00,1593.75
2023,1,5,03:45:00,1554.6875
2023,1,5,04:00:00,1656.25
2023,1,5,04:15:00,1539.0625
2023,1,5,04:30:00,1523.4375
2023,1,5,04:45:00,1835.9375
2023,1,5,05:00:00,3296.875
2023,1,5,05:15:00,3257.8125
2023,1,5,05:30:00,1773.4375
2023,1,5,05:45:00,1460.9375
2023,1,5,06:00:00,1593.75
2023,1,5,06:15:00,1523.4375
2023,1,5,06:30:00,1632.8125
2023,1,5,06:45:00,1664.0625
